File Name,Date,Commits,Added Lines,Removed Lines,Churn
.gitignore,2021-10-18 20:26:18+01:00,1,5,1,6
.htaccess,2021-08-17 13:49:18+01:00,2,6,3,9
.pre-commit-config.yaml,2021-11-08 12:37:27+00:00,1,6,0,6
.zuul.yaml,2021-05-26 19:35:29+01:00,10,67,20,87
067_train.py,2021-06-16 10:10:29+01:00,3,318,325,643
068_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
069_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
070_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
071_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
072_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
073_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
074_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
075_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
076_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
077_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
078_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
079_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
080_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
081_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
082_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
083_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
084_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
085_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
086_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
087_placeholder.py,2021-08-09 15:34:40+01:00,1,0,0,0
16f1fbcab42b_resolve_shadow_table_diffs.py,2021-09-24 12:14:41+01:00,1,62,0,62
402_train.py,2021-06-16 10:10:29+01:00,8,1211,1302,2513
403_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
404_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
405_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
406_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
407_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
408_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
409_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
410_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
411_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
412_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
413_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
414_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
415_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
416_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
417_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
418_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
419_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
420_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
421_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
422_placeholder.py,2021-07-05 11:05:04+01:00,1,0,0,0
8f2f1571d55b_initial_version.py,2021-08-09 15:34:40+01:00,3,1653,26,1679
HACKING.rst,2021-09-01 12:26:52+01:00,1,3,0,3
ImageMetaPropsPayload.json,2021-09-02 17:46:22+01:00,1,1,1,2
README,2021-07-05 11:05:04+01:00,2,0,0,0
README.rst,2021-08-09 15:34:40+01:00,2,30,0,30
__init__.py,2021-05-10 19:18:30+00:00,16,32,16,48
accelerator-support.rst,2021-08-17 10:25:20+08:00,1,54,0,54
add-attachment-id-to-os-volume-attachments-a23818d5b11f15a1.yaml,2021-08-24 12:07:41+01:00,1,8,0,8
add-nova-manage-bdm-commands-19f360dd85c1e81d.yaml,2021-08-25 10:26:07+01:00,1,16,0,16
addresses.py,2021-08-19 11:16:59+01:00,1,8,6,14
admin_only_action_common.py,2021-08-05 15:58:41+08:00,1,2,1,3
aggregate.py,2021-07-05 11:04:42+01:00,4,29,30,59
aggregates.py,2021-08-19 11:16:59+01:00,2,3,2,5
alembic.ini,2021-08-09 15:34:40+01:00,3,180,2,182
api.py,2021-06-16 10:10:29+01:00,26,1132,2140,3272
api.rst,2021-05-31 10:43:49+02:00,1,1,1,2
api_models.py,2021-07-05 11:04:42+01:00,1,306,287,593
api_paste.py,2021-05-12 16:32:43+01:00,1,1,1,2
api_sample_base.py,2021-05-12 16:32:43+01:00,1,1,1,2
api_version_request.py,2021-08-24 12:07:41+01:00,1,5,1,6
archive-sleep-a0cc3d3e7784e5df.yaml,2021-09-02 13:55:46+02:00,1,11,0,11
archive-task-logs-fa9dd7c5859b5e30.yaml,2021-06-17 01:57:12+00:00,2,27,2,29
attach-volume-to-server-req.json,2021-08-24 12:07:41+01:00,1,7,0,7
attach-volume-to-server-req.json.tpl,2021-08-24 12:07:41+01:00,1,7,0,7
attach-volume-to-server-resp.json,2021-08-24 12:07:41+01:00,1,10,0,10
attach-volume-to-server-resp.json.tpl,2021-08-24 12:07:41+01:00,1,10,0,10
attach_interfaces.py,2021-07-04 16:00:55-05:00,4,20,24,44
availability-zones.rst,2021-06-01 15:11:50+01:00,1,4,6,10
availability_zone_filter.py,2021-06-01 15:11:50+01:00,1,15,0,15
b30f573d3377_remove_unused_build_requests_columns.py,2021-10-18 20:26:18+01:00,1,45,0,45
bandwidth_usage.py,2021-08-09 15:34:40+01:00,1,1,1,2
baremetal_nodes.py,2021-07-04 16:00:55-05:00,1,9,11,20
base.py,2021-05-12 16:32:43+01:00,9,51,58,109
bindep.txt,2021-06-18 12:34:27+01:00,1,5,3,8
block-device-structs.rst,2021-08-20 13:26:46+01:00,1,15,12,27
block_device.py,2021-08-09 15:34:40+01:00,2,17,69,86
bochs-ffaa289da97d08c8.yaml,2021-09-02 17:46:22+01:00,1,7,0,7
bug-1821755-7bd03319e34b6b10.yaml,2021-06-01 11:29:38-03:00,1,11,0,11
bug-1829479-cd2db21526965e6d.yaml,2021-10-26 19:26:19+09:00,1,8,0,8
bug-1853009-99414e14d1491b5f.yaml,2021-08-20 14:57:45+01:00,1,7,0,7
bug-1910466-max-vcpu-topologies-with-numa-9a9ceb1b0fc7c33d.yaml,2021-06-18 12:34:22+01:00,1,23,0,23
bug-1939604-547c729b7741831b.yaml,2021-08-18 09:51:04-03:00,1,5,0,5
build_request.py,2021-08-09 15:34:40+01:00,3,11,10,21
cast_as_call.py,2021-05-12 16:32:43+01:00,1,4,4,8
cell_mapping.py,2021-07-05 11:04:42+01:00,4,34,34,68
check-cherry-picks.sh,2021-06-16 15:51:38+01:00,2,5,5,10
checks.py,2021-08-09 15:34:40+01:00,2,64,2,66
cinder.py,2021-05-13 14:28:33+01:00,9,513,121,634
claims.py,2021-07-05 09:10:23+08:00,2,3,0,3
common.py,2021-05-12 10:50:52+08:00,2,3,21,24
compute.py,2021-07-19 11:48:05+02:00,2,5,3,8
compute_node.py,2021-07-05 11:04:42+01:00,3,24,13,37
conf.py,2021-05-12 11:30:41+01:00,2,1,0,1
config.py,2021-05-26 17:26:05+01:00,5,17,4,21
console-proxy-reject-open-redirect-4ac0a7895acca7eb.yaml,2021-05-14 17:26:00+02:00,1,19,0,19
console_auth_token.py,2021-08-09 15:34:40+01:00,1,1,1,2
constants.py,2021-08-21 09:48:37+02:00,2,2,0,2
context.py,2021-08-09 15:34:40+01:00,1,1,1,2
convert-features-not-implemented-return-code-bf8beea51705271b.yaml,2021-09-01 09:09:58-05:00,1,8,0,8
cpu-topologies.rst,2021-07-27 16:55:57+01:00,3,5,5,10
cross_cell_migrate.py,2021-11-08 12:37:27+00:00,1,1,0,1
cyborg.py,2021-05-13 14:28:33+01:00,4,524,95,619
d67eeaabee36_initial_version.py,2021-08-09 15:34:40+01:00,2,607,4,611
database-migrations.rst,2021-08-17 13:49:18+01:00,1,187,0,187
database.py,2021-08-09 15:34:39+01:00,3,36,98,134
deferred_delete.py,2021-07-04 16:00:55-05:00,1,9,11,20
deprecate-AZ-filter-28406abc0135c1c3.yaml,2021-06-01 15:11:50+01:00,1,18,0,18
deprecate-image-download-ext-point-cd5809e11bbd09d3.yaml,2021-05-31 10:43:49+02:00,1,1,1,2
deprecate-xen-driver-train-bd57a16fa51ab679.yaml,2021-05-31 10:43:49+02:00,1,1,1,2
designer.py,2021-06-07 18:29:32+01:00,1,7,3,10
devices.py,2021-08-03 16:54:54+02:00,3,40,25,65
devspec.py,2021-11-08 12:37:27+00:00,1,1,0,1
driver.py,2021-05-26 17:26:05+01:00,28,759,690,1449
drop-database-use_db_reconnect-opt-7e0062d3da76032a.yaml,2021-08-09 15:34:40+01:00,1,9,0,9
drop-oslo_db-use_tpool-48542a28d10e1bae.yaml,2021-07-05 11:10:10+01:00,1,8,0,8
ds_util.py,2021-08-18 10:54:42+02:00,1,45,46,91
ec2.py,2021-08-09 15:34:40+01:00,1,1,1,2
env.py,2021-08-09 15:34:40+01:00,6,317,77,394
evacuate.py,2021-08-05 15:58:41+08:00,5,13,18,31
event.py,2021-11-08 12:37:27+00:00,1,1,0,1
eventlet-profiling.rst,2021-06-29 12:24:41+01:00,3,31,73,104
eventlet_utils.py,2021-11-08 12:37:27+00:00,1,1,0,1
exception.py,2021-06-16 10:10:29+01:00,11,70,48,118
extended_server_attributes.py,2021-08-26 10:54:25+01:00,1,2,1,3
extra-specs.rst,2021-08-23 16:45:37+01:00,1,1,1,2
fake.py,2021-06-02 15:41:51+01:00,5,15,8,23
fake_adapter.py,2021-11-08 12:37:27+00:00,1,1,0,1
fake_network.py,2021-08-09 15:34:40+01:00,1,3,2,5
fake_notifier.py,2021-06-10 18:07:47+02:00,1,0,153,153
fake_server_actions.py,2021-08-09 15:34:40+01:00,1,4,2,6
fakes.py,2021-05-20 16:57:24+01:00,7,11,177,188
feature_matrix.py,2021-11-08 12:37:27+00:00,1,1,0,1
fields.py,2021-09-02 17:46:22+01:00,1,2,1,3
filter-scheduler.rst,2021-08-23 16:45:37+01:00,1,0,630,630
filter_scheduler.py,2021-06-29 11:40:04+01:00,3,10,503,513
filters.py,2021-11-08 12:37:27+00:00,1,1,0,1
fix-ironic-compute-restart-port-attachments-3282e9ea051561d4.yaml,2021-11-03 05:57:08-07:00,1,11,0,11
fix-pci-passthrough-for-cavium-thunderx-8fbd1c40718569e2.yaml,2021-06-28 12:48:26+00:00,1,12,0,12
flavor.py,2021-07-05 11:04:42+01:00,4,33,33,66
flavor_access.py,2021-07-04 16:00:55-05:00,1,8,8,16
flavors.py,2021-07-05 11:10:09+01:00,2,11,9,20
flavors.rst,2021-08-23 16:45:37+01:00,1,1,7,8
floating_ips.py,2021-07-04 16:00:55-05:00,1,13,23,36
fs.py,2021-06-15 12:39:26+02:00,1,11,4,15
generate-schemas,2021-08-09 15:34:40+01:00,2,1,124,125
generic_mdevs-0e1b3ef8385f7fae.yaml,2021-08-03 16:54:54+02:00,1,13,0,13
generic_mdevs_2-d1b1c71e8035527f.yaml,2021-08-27 14:52:01+01:00,1,10,0,10
glance.py,2021-05-13 14:28:33+01:00,1,335,0,335
gmr.rst,2021-10-14 09:23:08+03:00,1,27,4,31
guestfs.py,2021-11-08 12:37:27+00:00,1,1,0,1
hardware.py,2021-05-26 19:35:31+01:00,2,5,126,131
host.py,2021-06-28 12:48:26+00:00,3,29,11,40
host_manager.py,2021-06-29 12:22:29+01:00,2,7,6,13
host_mapping.py,2021-07-05 11:04:42+01:00,4,14,14,28
hosts.py,2021-07-04 16:00:55-05:00,2,14,23,37
how-to-get-involved.rst,2021-09-19 11:09:27+09:00,1,2,2,4
hw.py,2021-07-27 16:55:57+01:00,1,130,64,194
hw_rng.py,2021-07-27 16:55:57+01:00,1,1,1,2
hypervisors.py,2021-07-04 16:00:55-05:00,2,16,27,43
image.py,2021-09-02 17:46:22+01:00,1,2,1,3
image_meta.py,2021-05-20 16:57:24+01:00,2,17,1,18
imagebackend.py,2021-05-24 11:00:29+01:00,2,20,18,38
index.rst,2021-05-31 15:07:41+01:00,4,10,10,20
instance.py,2021-07-05 11:04:42+01:00,2,16,16,32
instance_action.py,2021-08-09 15:34:40+01:00,1,1,1,2
instance_actions.py,2021-07-04 16:00:55-05:00,2,14,11,25
instance_fault.py,2021-08-09 15:34:40+01:00,1,1,1,2
instance_group.py,2021-07-05 11:04:42+01:00,4,19,20,39
instance_info_cache.py,2021-08-09 15:34:40+01:00,1,1,1,2
instance_list.py,2021-08-09 15:34:40+01:00,1,1,1,2
instance_mapping.py,2021-07-05 11:04:42+01:00,4,35,38,73
instance_numa.py,2021-06-18 12:34:22+01:00,2,3,1,4
instance_pci_requests.py,2021-08-09 15:34:40+01:00,1,1,1,2
instance_usage_audit_log.py,2021-07-04 16:00:55-05:00,1,9,11,20
integrated_helpers.py,2021-05-12 16:32:43+01:00,11,111,54,165
ips.py,2021-08-19 11:16:59+01:00,1,2,6,8
iscsi.py,2021-07-15 18:45:54-04:00,1,1,2,3
iser.py,2021-11-08 12:37:27+00:00,1,1,0,1
keypair.py,2021-08-09 15:34:40+01:00,4,39,74,113
launch-instance-from-volume.rst,2021-07-07 13:29:07+00:00,1,260,241,501
libvirt-disable-apic-39599bdc2d110a1f.yaml,2021-08-20 13:35:53+01:00,1,13,0,13
libvirt-distro-support-matrix.rst,2021-05-20 17:33:35+01:00,2,30,9,39
libvirt-vmcoreinfo-3be69e21dfe7dbd2.yaml,2021-05-26 17:26:05+01:00,1,10,0,10
libvirt-workarounds-disable_native_luksv1-18773636b414970e.yaml,2021-09-01 12:50:23+01:00,1,6,0,6
libvirt-workarounds-remove-rbd_volume_local_attach-ebdf9cf313344a45.yaml,2021-09-01 12:50:23+01:00,1,6,0,6
libvirt.py,2021-05-19 10:29:56+02:00,4,33,15,48
libvirt_data.py,2021-05-24 11:00:29+01:00,2,3,1,4
libvirt_imagebackend.py,2021-05-24 11:00:59+01:00,1,1,1,2
limits.py,2021-07-04 16:00:55-05:00,1,8,7,15
list-volume-attachments-resp.json,2021-08-24 12:07:41+01:00,1,22,0,22
list-volume-attachments-resp.json.tpl,2021-08-24 12:07:41+01:00,1,22,0,22
live_migrate.py,2021-08-27 17:59:18+02:00,1,9,11,20
lower-constraints.txt,2021-05-19 10:29:56+02:00,7,8,7,15
manage-volumes.rst,2021-09-15 10:26:39+01:00,1,143,0,143
manage.py,2021-06-17 01:57:12+00:00,14,661,227,888
manager.py,2021-06-01 11:29:38-03:00,23,903,216,1119
microversion-2-90-59fb6d4ec420b9f4.yaml,2021-08-26 10:54:25+01:00,1,8,0,8
microversions.py,2021-11-08 12:37:27+00:00,1,1,1,2
middleware.py,2021-06-15 07:35:36-04:00,1,6,2,8
migrate.cfg,2021-07-05 11:05:04+01:00,2,0,0,0
migrate.py,2021-06-29 12:24:41+01:00,2,11,6,17
migrate_data.py,2021-06-18 18:14:39+01:00,1,4,1,5
migrate_server.py,2021-08-05 15:58:41+08:00,5,30,34,64
migration.py,2021-06-07 18:29:32+01:00,14,314,345,659
migration_context.py,2021-08-09 15:34:40+01:00,1,1,1,2
migration_list.py,2021-08-09 15:34:40+01:00,1,1,1,2
minimize-bug-1841481-race-window-f76912d4985770ad.yaml,2021-07-02 13:02:02-07:00,1,13,0,13
model.py,2021-08-05 15:58:25+08:00,2,25,1,26
models.py,2021-07-05 11:04:42+01:00,9,741,902,1643
mount.py,2021-11-08 12:37:27+00:00,1,1,0,1
multi_cell_list.py,2021-11-08 12:37:27+00:00,1,2,0,2
multinic.py,2021-07-04 16:00:55-05:00,1,9,11,20
net.py,2021-09-01 12:50:23+01:00,2,4,37,41
netconf.py,2021-05-19 10:29:56+02:00,1,1,1,2
network_request.py,2021-08-05 15:58:25+08:00,1,18,4,22
networking.rst,2021-05-25 16:45:51+01:00,2,4,8,12
networks.py,2021-07-04 16:00:55-05:00,1,9,11,20
neutron.py,2021-05-12 10:50:52+08:00,24,1506,406,1912
notification_sample_base.py,2021-05-24 11:00:59+01:00,1,14,15,29
notifications.py,2021-05-24 11:00:59+01:00,4,249,10,259
nova-config-generator.conf,2021-07-05 11:10:10+01:00,3,1,2,3
nova-manage.rst,2021-06-17 01:57:12+00:00,7,166,3,169
nova-status.rst,2021-08-21 10:00:51+02:00,1,4,0,4
nova.py,2021-05-12 11:30:41+01:00,15,240,1790,2030
null.py,2021-07-27 16:55:57+01:00,1,4,4,8
orphaned-allocations.rst,2021-08-06 15:58:39+02:00,2,42,2,44
os-cells.inc,2021-08-25 16:53:47+08:00,1,14,0,14
os-volume-attachments.inc,2021-08-24 12:07:41+01:00,1,11,7,18
os.py,2021-07-27 16:55:57+01:00,1,1,1,2
os_brick.py,2021-05-24 11:00:59+01:00,2,40,6,46
overview.rst,2021-06-09 13:39:43-04:00,1,8,0,8
parameter_types.py,2021-08-19 11:16:59+01:00,1,1,8,9
parameters.yaml,2021-08-23 16:45:37+01:00,3,26,11,37
pci_device.py,2021-08-09 15:34:40+01:00,1,4,5,9
pci_passthrough.py,2021-07-27 16:55:57+01:00,1,8,3,11
policy-concepts.rst,2021-06-03 09:46:18-05:00,1,63,0,63
policy.py,2021-05-12 16:32:43+01:00,3,4,2,6
port_with_resource_request.rst,2021-08-21 09:49:54+02:00,5,28,18,46
ports-with-resource-requests.rst,2021-08-21 09:49:54+02:00,5,42,17,59
post_test_hook.sh,2021-11-01 11:26:55+00:00,2,40,40,80
process.rst,2021-05-20 13:23:38+02:00,2,73,5,78
provider_tree.py,2021-11-08 12:37:27+00:00,1,1,0,1
quota.py,2021-07-05 11:04:42+01:00,5,126,39,165
quotas.py,2021-08-09 15:34:40+01:00,3,85,77,162
rbd_utils.py,2021-05-11 17:28:56+02:00,2,10,1,11
redirect-tests.txt,2021-08-17 13:49:18+01:00,2,6,3,9
remove-caching-scheduler-cfe0985b5a58bef4.yaml,2021-05-31 10:43:49+02:00,1,2,2,4
remove-deprecated-scheduler-opts-37afb63a94e8b47e.yaml,2021-08-23 16:52:28+01:00,1,17,0,17
report.py,2021-08-12 14:26:45+01:00,4,76,18,94
request_spec.py,2021-05-28 14:26:56+02:00,8,120,19,139
requestlog.py,2021-06-09 22:20:38+00:00,1,13,1,14
require-placemnet-api-microversion-1.36-1129fe4afc949075.yaml,2021-08-21 10:00:51+02:00,1,7,0,7
requirements.txt,2021-05-19 10:29:56+02:00,6,7,10,17
rescue.py,2021-07-04 16:00:55-05:00,2,8,10,18
reserve-migrations.py,2021-07-05 11:05:04+01:00,3,2,77,79
resource.py,2021-08-09 15:34:40+01:00,1,1,1,2
resource_tracker.py,2021-08-12 14:26:45+01:00,3,25,3,28
rest_api_version_history.rst,2021-08-24 12:07:41+01:00,1,11,0,11
routes.py,2021-11-08 12:37:27+00:00,1,1,0,1
rpcapi.py,2021-09-02 13:09:08+00:00,1,1,0,1
scaleio.py,2021-11-08 12:37:27+00:00,1,1,0,1
scheduler-hints-vs-flavor-extra-specs.rst,2021-08-23 16:45:37+01:00,1,1,1,2
scheduler.py,2021-06-01 15:11:50+01:00,2,15,26,41
schedulers.rst,2021-06-01 15:11:50+01:00,2,7,1053,1060
scheduling.rst,2021-08-23 16:45:37+01:00,1,1417,1,1418
